,SalePrice,Fireplaces,OverallCond,OverallQual,TotalBsmtSF,CentralAir,PouredConcrete,ConcreteBlock,Deck,TotalSF,Location,BsmtLivArea,Age,FlatLandContour,HighQualKitchen,MultipleFloors,NearRailroad,ZoningHighDensity,ExterScore,Bathrooms,OffSiteFeatures,Pool,FlatRoof,HasGarage,ZoningFloatVillage
14,212000,0,5,8,1488.0,1,1,0,0,2990.0,4,1488.0,25,1,0,0,0,0,2.1474775607565886,2.5,0,0,0,1,0
16,164000,0,7,8,559.0,1,0,0,1,2179.0,2,427.0,22,0,0,1,0,0,2.1474775607565886,2.0,0,0,0,1,0
17,394432,1,2,9,1856.0,1,1,0,1,3301.0,4,1445.0,0,1,1,0,0,0,2.1474775607565886,2.5,0,0,0,1,0
18,141000,0,5,4,864.0,1,0,1,0,984.0,2,120.0,59,1,0,0,0,0,1.853432616936364,1.0,0,0,0,1,0
19,210000,2,6,6,1542.0,1,0,1,1,3026.0,3,953.0,32,1,0,0,0,0,1.853432616936364,3.0,0,0,0,1,0
20,190000,1,6,6,1844.0,1,0,1,0,2549.0,3,705.0,33,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
22,216000,0,5,7,814.0,1,1,0,0,2207.0,4,533.0,10,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,1
23,149000,1,7,6,1004.0,1,0,1,0,1582.0,2,578.0,40,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
24,149900,1,6,5,1078.0,1,0,1,0,1812.0,2,734.0,39,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
25,142000,1,6,5,1056.0,1,0,1,0,1831.0,2,775.0,42,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
26,126000,0,5,4,882.0,1,0,1,1,1764.0,2,882.0,40,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
27,115000,1,5,4,864.0,1,0,1,0,1296.0,2,432.0,39,1,0,0,0,0,1.853432616936364,1.0,0,0,0,0,0
28,184000,1,5,7,1405.0,1,1,0,1,2388.0,2,1051.0,11,1,0,0,0,1,2.1474775607565886,3.0,0,0,0,1,0
29,96000,0,5,6,483.0,1,0,1,1,1143.0,1,156.0,39,1,0,1,0,1,1.853432616936364,1.5,0,0,0,1,0
30,105500,0,5,5,525.0,1,0,1,0,1392.0,1,300.0,39,1,0,1,0,1,1.853432616936364,1.5,0,0,0,1,0
32,127500,1,5,6,1069.0,1,0,1,0,1429.0,2,360.0,33,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
33,149900,1,6,6,855.0,1,0,1,1,1970.0,2,514.0,35,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
34,120000,0,6,7,836.0,1,0,1,0,836.0,2,0.0,35,1,0,0,0,0,1.853432616936364,1.0,0,0,0,1,0
35,146000,1,5,6,855.0,1,0,1,1,1767.0,2,311.0,32,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
36,376162,1,5,9,1590.0,1,1,0,1,2334.0,4,0.0,1,1,1,1,0,0,2.441522504576813,2.5,0,0,0,1,0
37,306000,1,5,8,1704.0,1,1,0,0,2922.0,4,1218.0,3,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,0
38,395192,1,5,9,1930.0,1,1,0,1,3586.0,4,1646.0,1,1,1,0,0,0,2.441522504576813,3.5,0,0,0,1,0
39,290941,0,5,8,1544.0,1,1,0,0,1544.0,4,0.0,1,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
40,220000,1,5,7,1541.0,1,1,0,0,2742.0,4,1201.0,5,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
41,275000,1,5,9,1698.0,1,1,0,1,1808.0,4,110.0,5,1,1,0,0,0,2.1474775607565886,2.0,1,0,0,1,0
42,259000,1,5,8,1822.0,1,1,0,0,1850.0,4,28.0,5,1,1,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
43,214000,0,5,7,1517.0,1,1,0,0,1537.0,4,2.0,6,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
45,224000,1,5,7,1358.0,1,1,0,1,2091.0,4,733.0,1,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,0
47,320000,1,5,8,1671.0,1,1,0,1,2828.0,4,578.0,8,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
48,319900,1,5,9,1752.0,1,1,0,1,2208.0,4,456.0,5,1,1,0,0,0,2.441522504576813,3.0,0,0,0,1,0
49,205000,1,5,8,1370.0,1,1,0,1,1394.0,4,24.0,4,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
50,175500,0,5,7,764.0,1,1,0,0,1626.0,4,0.0,7,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
51,199500,0,5,6,1324.0,1,1,0,1,1324.0,2,0.0,5,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
52,160000,0,5,7,1145.0,1,1,0,1,1161.0,4,16.0,4,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
53,192000,1,5,8,1256.0,1,1,0,1,1293.0,4,24.0,6,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
54,184500,1,5,7,384.0,1,1,0,1,1700.0,2,326.0,6,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
55,216500,2,5,6,860.0,1,1,0,1,2585.0,2,625.0,8,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
56,185088,1,5,7,847.0,1,1,0,1,1733.0,2,0.0,6,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
57,180000,1,5,7,384.0,1,1,0,1,1680.0,2,250.0,10,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
58,222500,1,5,7,884.0,1,1,0,1,2035.0,2,0.0,9,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
59,333168,1,5,9,1393.0,1,1,0,1,2599.0,4,0.0,11,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
60,355000,1,5,8,1629.0,1,1,0,1,2475.0,4,0.0,12,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
61,260400,1,5,7,1720.0,1,1,0,1,2639.0,4,919.0,14,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,0
62,325000,2,5,8,1463.0,1,1,0,1,3654.0,4,1032.0,16,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
63,290000,1,7,8,1152.0,1,1,0,1,2794.0,4,524.0,11,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
64,221000,0,5,7,1195.0,1,1,0,0,1839.0,4,0.0,12,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
66,221500,1,5,8,1595.0,1,1,0,1,1595.0,4,0.0,5,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
67,204500,0,5,7,1218.0,1,1,0,0,1218.0,4,0.0,1,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,1
68,215200,0,5,7,756.0,1,1,0,1,1571.0,4,24.0,1,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,1
69,262500,0,5,8,1566.0,1,1,0,1,2644.0,4,1078.0,2,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,1
70,254900,1,5,7,991.0,1,1,0,0,2169.0,4,222.0,6,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,1
71,271500,1,5,6,1468.0,1,1,0,0,2882.0,4,1414.0,5,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,1
72,233000,0,5,7,956.0,1,1,0,0,2740.0,3,656.0,6,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
73,181000,0,5,7,831.0,1,1,0,1,1659.0,3,0.0,6,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
74,205000,2,5,7,948.0,1,1,0,0,2805.0,3,695.0,16,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
75,143000,1,5,6,923.0,1,0,1,1,1585.0,3,662.0,30,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
76,189000,1,5,6,1055.0,1,1,0,1,1845.0,3,0.0,18,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,0
77,99500,1,5,6,918.0,1,0,1,1,918.0,3,0.0,31,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
78,125000,0,5,6,744.0,1,0,1,1,1496.0,3,744.0,26,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
79,194500,0,7,7,996.0,1,1,0,1,2146.0,3,402.0,17,1,0,1,1,0,2.1474775607565886,2.5,0,0,0,1,0
80,152000,0,5,6,1040.0,1,1,0,0,1435.0,3,338.0,26,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
81,171000,1,6,6,650.0,1,0,1,0,1564.0,3,0.0,30,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
82,67500,0,5,5,816.0,0,0,0,1,1012.0,3,0.0,90,1,0,0,0,1,1.5296666884444674,1.0,0,0,0,1,0
83,112000,0,5,6,0.0,1,0,0,0,1902.0,1,0.0,32,1,0,1,1,1,1.853432616936364,2.0,0,0,0,1,0
84,148000,0,7,5,1109.0,1,0,1,1,2054.0,1,899.0,49,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
85,138500,1,8,5,894.0,1,0,1,1,1564.0,1,670.0,45,1,0,0,1,0,2.1771985454282605,2.0,0,0,0,1,0
86,122000,0,5,5,882.0,1,0,1,0,1350.0,1,450.0,43,1,0,0,0,0,2.1771985454282605,1.0,0,0,0,1,0
87,133000,0,5,5,1040.0,1,0,1,0,1864.0,1,824.0,47,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
88,127000,0,8,5,1040.0,1,0,1,0,1699.0,1,659.0,48,1,0,0,0,0,2.1771985454282605,2.5,0,0,0,1,0
90,190000,1,5,7,750.0,1,1,0,1,2597.0,4,674.0,18,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
91,362500,1,5,8,1231.0,1,1,0,1,3580.0,4,1231.0,17,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
92,285000,1,5,8,1390.0,1,1,0,1,3354.0,4,1129.0,18,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,0
93,260000,1,5,7,1488.0,1,1,0,1,2786.0,4,1298.0,6,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,1
94,190000,0,5,7,840.0,1,1,0,0,1680.0,4,0.0,6,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,1
95,155000,0,5,7,600.0,1,1,0,0,1480.0,4,280.0,6,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,1
96,151000,0,5,7,600.0,1,1,0,0,1200.0,4,0.0,6,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,1
97,149500,0,5,7,600.0,1,1,0,0,1610.0,4,410.0,6,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,1
98,152000,0,5,6,600.0,1,1,0,0,1612.0,4,376.0,5,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,1
99,222000,1,5,7,1470.0,1,1,0,0,2056.0,4,578.0,1,1,0,0,0,0,2.441522504576813,3.5,0,0,0,1,1
100,177500,0,5,6,756.0,1,1,0,0,1951.0,4,378.0,10,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,1
101,177000,0,5,6,756.0,1,1,0,0,1978.0,4,466.0,10,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,1
102,155000,0,5,7,696.0,1,1,0,0,2020.0,4,604.0,11,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,1
103,147110,0,5,7,530.0,1,1,0,0,1324.0,4,244.0,7,1,0,1,0,0,2.1474775607565886,2.5,0,0,0,1,1
104,267916,1,5,8,1642.0,1,1,0,1,2450.0,4,1032.0,0,1,0,0,0,0,2.1474775607565886,2.5,0,0,0,1,1
105,254000,1,5,8,975.0,1,1,0,1,2332.0,4,484.0,10,1,0,1,0,0,2.1474775607565886,3.5,0,0,0,1,1
106,155000,1,5,8,728.0,1,0,1,1,1516.0,4,728.0,30,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
107,206000,1,6,8,1226.0,1,0,1,1,2278.0,4,1052.0,32,1,0,0,0,0,2.1474775607565886,2.0,0,0,0,1,0
108,130500,0,8,6,725.0,1,0,1,0,2012.0,1,533.0,34,1,0,1,1,0,2.1474775607565886,2.5,0,0,0,1,0
109,230000,1,5,7,1492.0,1,1,0,1,2325.0,4,833.0,8,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,1
110,218500,0,6,6,1829.0,1,0,1,0,2335.0,3,506.0,43,1,0,0,0,0,1.853432616936364,3.0,0,0,0,1,0
111,243500,1,5,6,1280.0,1,1,0,1,3632.0,3,1137.0,17,1,0,1,0,0,1.853432616936364,3.5,0,0,0,1,0
112,205000,2,7,6,1610.0,1,1,0,1,2810.0,3,1200.0,33,1,0,0,0,0,1.853432616936364,3.0,0,0,0,1,0
113,212500,1,5,6,1224.0,1,1,0,0,2624.0,3,733.0,32,1,0,1,0,0,1.853432616936364,3.5,0,0,0,1,0
114,196500,1,5,7,980.0,1,0,1,1,2108.0,3,394.0,22,1,0,1,0,0,1.853432616936364,2.5,0,0,0,1,0
115,197500,1,7,6,1161.0,1,0,1,0,2363.0,3,982.0,38,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
116,171000,0,6,6,715.0,1,0,1,0,1974.0,3,329.0,39,1,0,1,0,0,1.853432616936364,2.0,0,0,0,1,0
117,142250,0,5,5,1232.0,1,0,1,0,1930.0,2,698.0,44,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
118,143000,2,5,6,1328.0,1,0,1,0,1978.0,3,650.0,47,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
119,128950,0,5,4,950.0,1,0,1,1,1794.0,2,569.0,51,1,0,0,0,0,1.853432616936364,2.5,0,0,0,0,0
120,159000,0,5,5,1209.0,1,1,0,0,2268.0,2,1059.0,44,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
121,178900,0,6,5,1510.0,1,0,1,0,2520.0,2,1010.0,43,1,0,0,0,0,1.853432616936364,3.0,0,0,0,1,0
123,180500,1,7,5,1152.0,1,1,0,1,2166.0,2,1014.0,46,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
126,142125,0,6,5,1078.0,1,0,1,1,2156.0,2,1078.0,60,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
127,197600,2,7,5,1140.0,1,0,1,0,3131.0,2,670.0,58,1,0,1,0,0,2.1474775607565886,2.0,0,0,0,1,0
128,172500,1,6,6,782.0,1,0,1,0,1856.0,2,300.0,61,1,0,1,1,0,2.1771985454282605,2.0,0,0,0,1,0
129,116500,0,7,5,858.0,1,0,1,1,1554.0,2,696.0,52,1,0,0,0,0,2.1771985454282605,2.0,0,0,0,0,0
130,76500,0,2,3,728.0,1,0,1,1,1306.0,2,0.0,70,1,0,0,0,0,1.2059007599525708,1.0,0,0,0,0,0
131,128000,0,5,5,1056.0,1,0,1,0,1707.0,2,644.0,56,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
132,153000,2,6,6,1156.0,1,0,1,0,2326.0,2,806.0,55,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
133,132000,1,6,5,1268.0,1,1,0,0,1808.0,2,540.0,56,1,0,0,0,0,1.853432616936364,1.0,0,0,0,1,0
134,178000,1,8,6,1080.0,1,0,1,1,2072.0,2,944.0,44,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
135,154300,0,5,5,1105.0,1,0,1,0,2717.0,2,443.0,50,1,0,1,0,0,1.853432616936364,2.0,0,0,0,1,0
136,180000,1,5,7,1947.0,1,0,1,1,3119.0,2,912.0,40,1,0,0,0,0,1.853432616936364,3.0,1,0,0,1,0
137,190000,1,6,6,1517.0,1,0,1,0,2848.0,2,960.0,44,1,0,0,0,0,2.1474775607565886,2.5,1,0,0,1,0
138,135000,0,5,5,1604.0,1,0,1,1,1604.0,2,0.0,52,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
139,214000,0,5,7,1480.0,1,1,0,1,2668.0,2,1188.0,7,1,0,0,0,0,2.1474775607565886,3.0,0,0,0,1,0
140,136000,0,5,5,1143.0,1,0,1,0,2161.0,2,1018.0,51,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
141,165500,1,5,5,1398.0,1,0,1,0,2718.0,2,1018.0,51,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
142,145000,0,6,5,1314.0,1,0,1,1,2236.0,2,922.0,53,1,0,0,0,0,2.1771985454282605,2.0,0,0,0,1,0
143,148000,0,6,6,1194.0,1,0,1,0,1194.0,2,0.0,51,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
145,167500,2,5,5,1268.0,1,0,1,0,1961.0,2,697.0,50,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
146,108538,0,5,5,1206.0,1,0,1,0,2142.0,2,936.0,51,1,0,0,0,0,1.853432616936364,1.0,0,0,0,1,0
147,159500,2,5,6,1244.0,1,0,1,0,2314.0,2,734.0,51,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
148,108000,0,5,4,832.0,1,0,1,0,1337.0,2,0.0,54,1,0,1,0,0,1.853432616936364,1.0,0,0,0,1,0
149,135000,0,7,5,864.0,1,0,1,0,1403.0,2,339.0,58,1,0,0,0,0,1.853432616936364,1.5,0,0,0,1,0
150,122500,0,6,5,972.0,1,0,1,0,1620.0,2,648.0,55,1,0,0,0,0,2.1771985454282605,1.0,0,0,0,1,0
153,105000,0,7,4,576.0,1,0,0,0,985.0,2,0.0,90,1,0,0,0,0,1.853432616936364,1.5,0,0,0,1,0
154,107500,1,7,5,0.0,1,0,0,0,827.0,2,0.0,55,1,0,0,0,0,1.853432616936364,1.0,0,0,0,1,0
155,144900,0,7,5,1086.0,1,0,1,0,1768.0,2,682.0,56,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
156,129000,0,7,5,936.0,1,0,1,0,1424.0,2,488.0,54,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
158,144000,0,5,6,1056.0,1,0,1,1,2112.0,2,1056.0,30,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
159,162000,1,7,5,1063.0,1,0,1,1,1617.0,2,330.0,51,1,0,0,0,0,2.1771985454282605,2.0,0,0,0,1,0
160,242000,1,7,7,710.0,1,0,1,1,2978.0,2,0.0,43,1,0,1,0,0,2.471243489248485,2.5,1,0,0,1,0
161,132000,0,8,6,816.0,1,0,1,1,1879.0,2,655.0,62,1,0,1,1,0,1.853432616936364,2.0,0,0,0,1,0
162,154000,0,7,5,1246.0,1,0,1,1,2492.0,2,1246.0,51,1,0,0,0,0,1.853432616936364,2.5,0,0,0,1,0
163,166000,0,4,5,910.0,1,0,1,0,1892.0,2,507.0,58,1,0,1,1,0,1.5296666884444674,2.0,0,0,0,1,0
164,134800,0,7,5,900.0,1,0,1,1,1620.0,2,720.0,59,1,0,0,0,0,1.853432616936364,1.5,0,0,0,1,0
165,160000,0,6,6,1116.0,1,0,1,0,1116.0,2,0.0,48,1,0,0,0,0,1.853432616936364,1.5,0,0,0,1,0
166,148000,0,6,5,1175.0,1,0,1,0,2113.0,2,938.0,50,1,0,0,0,0,1.853432616936364,1.5,0,0,0,1,0
167,192000,1,7,6,1395.0,1,0,1,1,2375.0,2,980.0,47,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
168,155000,1,5,6,756.0,1,0,1,0,1839.0,2,0.0,44,1,0,1,0,0,1.853432616936364,1.5,1,0,0,1,0
170,96500,0,7,4,576.0,1,0,0,0,1140.0,2,0.0,100,1,0,1,0,1,1.853432616936364,1.0,0,0,0,0,0
171,109500,1,7,5,936.0,1,1,0,1,1515.0,2,579.0,90,1,0,0,1,1,1.853432616936364,2.0,0,0,0,0,0
172,115000,1,6,5,1008.0,1,0,1,0,1028.0,2,0.0,83,1,0,0,1,1,1.853432616936364,1.0,0,0,0,1,0
173,143000,0,7,5,1347.0,1,0,1,0,2694.0,2,1347.0,53,0,0,0,0,1,1.853432616936364,2.5,0,0,0,1,0
174,107400,0,6,3,840.0,0,0,1,0,1605.0,2,0.0,95,1,0,1,0,1,2.471243489248485,2.0,0,0,0,1,0
175,80000,0,6,4,747.0,1,0,1,0,747.0,2,0.0,65,1,0,0,1,1,2.1771985454282605,1.0,0,0,0,1,0
177,130000,0,7,5,926.0,1,0,0,0,2242.0,2,926.0,81,1,0,0,0,1,1.853432616936364,2.0,0,0,0,1,0
178,119000,0,7,6,827.0,1,1,0,0,1251.0,2,0.0,72,1,0,1,0,1,1.853432616936364,1.0,0,0,0,1,0
179,129000,1,7,5,1027.0,1,0,0,0,2413.0,2,780.0,62,1,0,1,1,1,2.1771985454282605,1.0,0,0,0,1,0
180,100000,0,6,5,1008.0,1,0,0,0,1421.0,2,176.0,90,1,0,1,1,1,1.853432616936364,1.0,0,0,0,1,0
182,105900,0,8,6,624.0,1,0,0,1,720.0,2,0.0,82,1,0,0,0,1,2.1771985454282605,1.0,0,0,0,1,0
184,139000,0,6,5,686.0,1,1,0,0,2338.0,2,686.0,95,1,0,1,1,1,2.1771985454282605,3.0,0,0,0,1,0
185,240000,0,9,8,346.0,1,0,0,0,2268.0,2,0.0,120,1,0,1,0,1,2.471243489248485,3.0,0,0,0,1,0
187,149700,0,7,6,912.0,1,0,1,0,1836.0,2,600.0,53,1,0,0,1,1,1.853432616936364,2.0,0,0,0,1,0
188,125500,0,7,4,622.0,1,0,1,0,1363.0,2,0.0,100,1,0,1,0,1,1.853432616936364,1.0,0,0,0,1,0
189,122500,0,6,4,777.0,1,1,0,0,2290.0,2,0.0,125,1,0,1,0,1,1.853432616936364,2.0,0,0,0,1,0
190,140750,0,7,6,738.0,1,0,1,0,1753.0,2,283.0,88,1,0,1,0,1,1.853432616936364,1.5,0,0,0,1,0
191,128500,0,6,5,988.0,1,0,1,0,2400.0,2,788.0,60,1,0,1,0,1,2.1771985454282605,1.5,0,0,0,1,0
192,209500,1,7,7,1108.0,0,0,0,0,2542.0,2,474.0,88,0,0,1,0,0,1.853432616936364,1.5,0,0,0,1,0
193,87000,0,7,4,765.0,0,0,0,1,953.0,2,188.0,85,1,0,0,0,1,1.853432616936364,2.0,0,0,0,1,0
195,128000,2,6,6,572.0,1,0,1,0,1460.0,2,264.0,70,1,0,1,0,1,2.1771985454282605,2.0,0,0,0,1,0
196,132000,2,6,5,835.0,1,0,1,0,1972.0,2,519.0,68,1,0,1,0,1,1.853432616936364,1.5,0,0,0,1,0
197,139900,0,7,6,780.0,1,0,1,1,1716.0,2,300.0,62,1,0,1,0,1,1.853432616936364,1.5,0,0,0,1,0
198,123900,0,7,5,528.0,1,0,1,1,1316.0,2,276.0,74,1,0,1,0,1,1.853432616936364,1.0,0,0,0,1,0
199,138400,1,5,5,928.0,1,0,0,0,1984.0,2,448.0,80,1,0,1,0,1,1.853432616936364,2.0,0,0,0,1,0
200,109500,1,5,6,1124.0,1,0,0,0,2028.0,2,960.0,87,1,0,0,1,1,1.853432616936364,2.0,0,0,0,1,0
201,140000,0,6,7,576.0,1,0,0,1,1710.0,2,0.0,89,0,0,1,1,1,1.853432616936364,2.0,0,0,0,1,0
202,149500,1,5,4,888.0,1,0,1,1,1962.0,2,0.0,95,1,0,1,0,1,1.5296666884444674,1.5,0,0,0,1,0
203,159900,0,8,6,780.0,1,1,0,1,1560.0,2,0.0,98,1,0,1,0,1,2.471243489248485,1.5,0,0,0,0,0
204,122000,0,8,6,662.0,1,0,0,0,1324.0,2,0.0,90,1,0,1,0,1,2.1771985454282605,1.5,0,0,0,1,0
205,110000,0,5,5,816.0,0,0,1,1,1632.0,1,816.0,47,0,0,0,1,1,1.5593876731161394,2.0,0,0,0,1,0
206,55000,0,5,4,0.0,0,0,0,0,1092.0,1,0.0,80,1,0,1,0,1,1.2356217446242426,2.0,0,0,0,0,0
207,140000,1,9,5,360.0,1,0,0,1,1812.0,2,0.0,110,1,0,1,0,1,2.1771985454282605,2.0,0,0,0,1,0
208,244400,2,7,7,1032.0,1,0,1,1,2403.0,2,0.0,70,1,0,1,0,0,2.1771985454282605,2.0,0,0,0,1,0
209,173000,2,5,5,1422.0,1,0,1,0,2441.0,2,766.0,51,1,0,0,0,0,1.853432616936364,2.0,0,0,0,1,0
210,107500,0,3,5,689.0,0,0,0,0,1224.0,2,0.0,93,1,0,1,0,0,1.853432616936364,1.5,0,0,0,1,0
211,100000,0,4,5,1212.0,0,0,0,0,2418.0,1,1026.0,95,1,0,1,0,0,1.2356217446242426,2.0,0,0,0,0,0
212,95000,0,5,6,600.0,0,0,1,0,1287.0,1,368.0,70,0,0,1,0,0,1.853432616936364,1.0,0,0,0,1,0
214,114900,1,7,5,856.0,1,0,0,1,2416.0,1,736.0,100,1,0,1,1,1,2.1771985454282605,3.0,0,0,0,1,0
215,94000,0,8,5,780.0,0,0,1,0,1020.0,1,0.0,135,1,0,1,0,0,2.1771985454282605,1.0,0,0,0,0,0
216,136000,0,3,4,1832.0,0,0,1,0,2536.0,1,704.0,43,1,0,0,0,0,1.2356217446242426,4.0,0,0,0,0,0
217,136500,0,5,4,1768.0,0,0,1,0,1768.0,1,0.0,42,1,0,0,0,0,1.853432616936364,2.0,0,0,0,0,0
