Id,OverallCond,MSZoning,LotArea,LandContour,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,Bathrooms,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageArea,WoodDeckSF,ScreenPorch,Pool,YrSold,SaleCondition,SalePrice
22,7,RM,7449,Bnk,Inside,Gtl,1Fam,1.5Unf,7,1930,1950,None,0,TA,PConc,0,637,637,Y,1108,0,1,Gd,1,Gd,Attchd,1,280,0,0,1,2007,Normal,139400
23,5,RL,9742,Lvl,Inside,Gtl,1Fam,1Story,8,2002,2002,BrkFace,281,Gd,PConc,0,1777,1777,Y,1795,0,2,Gd,1,Gd,Attchd,2,534,171,0,1,2008,Normal,230000
24,7,RM,4224,Lvl,Inside,Gtl,TwnhsE,1Story,5,1976,1976,None,0,TA,PConc,0,200,1040,Y,1060,0,1,TA,1,TA,Attchd,2,572,100,0,1,2007,Normal,129900
25,8,RL,8246,Lvl,Inside,Gtl,1Fam,1Story,5,1968,2001,None,0,TA,CBlock,668,204,1060,Y,1060,0,1,Gd,1,TA,Attchd,1,270,406,0,1,2010,Normal,154000
26,5,RL,14230,Lvl,Corner,Gtl,1Fam,1Story,8,2007,2007,Stone,640,Gd,PConc,0,1566,1566,Y,1600,0,2,Gd,1,Gd,Attchd,3,890,0,0,1,2009,Normal,256300
27,7,RL,7200,Lvl,Corner,Gtl,1Fam,1Story,5,1951,2000,None,0,TA,CBlock,486,180,900,Y,900,0,1,Gd,0,NA,Detchd,2,576,222,0,1,2010,Normal,134800
28,5,RL,11478,Lvl,Inside,Gtl,1Fam,1Story,8,2007,2008,Stone,200,Gd,PConc,0,486,1704,Y,1704,0,2,Gd,1,Gd,Attchd,3,772,0,0,1,2010,Normal,306000
29,6,RL,16321,Lvl,CulDSac,Gtl,1Fam,1Story,5,1957,1997,None,0,TA,CBlock,0,207,1484,Y,1600,0,1,TA,2,Gd,Attchd,1,319,288,0,1,2006,Normal,207500
30,6,RM,6324,Lvl,Inside,Gtl,1Fam,1Story,4,1927,1950,None,0,TA,BrkTil,0,520,520,N,520,0,1,Other,0,NA,Detchd,1,240,49,0,1,2008,Normal,68500
31,4,C (all),8500,Lvl,Inside,Gtl,1Fam,2Story,4,1920,1950,None,0,TA,BrkTil,0,649,649,N,649,668,1,TA,0,NA,Detchd,1,250,0,0,1,2008,Normal,40000
32,6,RL,8544,Lvl,CulDSac,Gtl,1Fam,1Story,5,1966,2006,None,0,TA,CBlock,0,1228,1228,Y,1228,0,2,Gd,0,NA,Attchd,1,271,0,0,1,2008,Normal,149350
33,5,RL,11049,Lvl,Corner,Gtl,1Fam,1Story,8,2007,2007,None,0,Gd,PConc,0,1234,1234,Y,1234,0,2,Gd,0,NA,Attchd,2,484,0,0,1,2008,Normal,179900
34,5,RL,10552,Lvl,Inside,Gtl,1Fam,1Story,5,1959,1959,None,0,TA,CBlock,0,380,1398,Y,1700,0,2,Gd,1,Gd,Attchd,2,447,0,0,1,2010,Normal,165500
35,5,RL,7313,Lvl,Inside,Gtl,TwnhsE,1Story,9,2005,2005,BrkFace,246,Ex,PConc,0,408,1561,Y,1561,0,2,Other,1,Gd,Attchd,2,556,203,0,1,2007,Normal,277500
36,5,RL,13418,Lvl,Inside,Gtl,1Fam,2Story,8,2004,2005,Stone,132,Gd,PConc,0,1117,1117,Y,1132,1320,4,Gd,1,Gd,BuiltIn,3,691,113,0,1,2006,Normal,309000
37,5,RL,10859,Lvl,Corner,Gtl,1Fam,1Story,5,1994,1995,None,0,TA,PConc,0,1097,1097,Y,1097,0,2,TA,0,NA,Attchd,2,672,392,0,1,2009,Normal,145000
38,6,RL,8532,Lvl,Inside,Gtl,1Fam,1Story,5,1954,1990,BrkFace,650,TA,CBlock,0,84,1297,Y,1297,0,1,TA,1,TA,Attchd,2,498,0,0,1,2009,Normal,153000
39,7,RL,7922,Lvl,Inside,Gtl,1Fam,1Story,5,1953,2007,None,0,TA,CBlock,0,326,1057,Y,1057,0,1,Gd,0,NA,Detchd,1,246,0,0,1,2010,Other,109000
40,5,RL,6040,Lvl,Inside,Gtl,Duplex,1Story,4,1955,1955,None,0,TA,PConc,0,0,0,N,1152,0,2,Other,0,NA,NA,0,0,0,0,1,2008,Other,82000
41,5,RL,8658,Lvl,Inside,Gtl,1Fam,1Story,6,1965,1965,BrkFace,101,TA,CBlock,0,445,1088,Y,1324,0,2,TA,1,TA,Attchd,2,440,0,0,1,2006,Other,160000
42,6,RL,16905,Lvl,Inside,Gtl,1Fam,1Story,5,1959,1959,None,0,TA,CBlock,0,383,1350,Y,1328,0,2,TA,2,Gd,Attchd,1,308,0,0,1,2007,Normal,170000
43,7,RL,9180,Lvl,CulDSac,Gtl,1Fam,SFoyer,5,1983,1983,None,0,TA,CBlock,93,0,840,Y,884,0,1,Gd,0,NA,Attchd,2,504,240,0,1,2007,Normal,144000
44,6,RL,9200,Lvl,CulDSac,Gtl,1Fam,1Story,5,1975,1980,None,0,TA,CBlock,491,167,938,Y,938,0,1,TA,0,NA,Detchd,1,308,145,0,1,2008,Normal,130250
45,6,RL,7945,Lvl,Inside,Gtl,1Fam,1Story,5,1959,1959,None,0,TA,CBlock,506,465,1150,Y,1150,0,1,TA,0,NA,Attchd,1,300,0,0,1,2006,Normal,141000
46,5,RL,7658,Lvl,Inside,Gtl,TwnhsE,1Story,9,2005,2005,BrkFace,412,Ex,PConc,0,1296,1752,Y,1752,0,2,Other,1,Gd,Attchd,2,576,196,0,1,2010,Normal,319900
47,5,RL,12822,Lvl,CulDSac,Gtl,1Fam,1.5Fin,7,2003,2003,None,0,Gd,PConc,0,83,1434,Y,1518,631,2,Gd,1,Ex,Attchd,2,670,168,1,1,2009,Other,239686
48,5,FV,11096,Lvl,Inside,Gtl,1Fam,1Story,8,2006,2006,None,0,Gd,PConc,0,1632,1656,Y,1656,0,2,Gd,0,NA,Attchd,3,826,0,0,1,2007,Normal,249700
49,5,RM,4456,Lvl,Inside,Gtl,2fmCon,2Story,4,1920,2008,None,0,TA,BrkTil,0,736,736,Y,736,716,2,TA,0,NA,NA,0,0,0,0,1,2009,Other,113000
50,7,RL,7742,Lvl,Inside,Gtl,1Fam,1Story,5,1966,1966,None,0,TA,CBlock,0,192,955,Y,955,0,1,TA,0,NA,Attchd,1,386,0,0,1,2007,Normal,127000
51,6,RL,13869,Lvl,Corner,Gtl,1Fam,2Story,6,1997,1997,None,0,TA,PConc,0,612,794,Y,794,676,2,TA,0,NA,Attchd,2,388,0,0,1,2007,Normal,177000
52,6,RM,6240,Lvl,Inside,Gtl,1Fam,1.5Fin,6,1934,1950,None,0,TA,PConc,0,816,816,Y,816,0,1,TA,1,Gd,Detchd,2,528,112,0,1,2006,Normal,114500
53,5,RM,8472,Bnk,Corner,Mod,Duplex,1Story,5,1963,1963,None,0,Fa,CBlock,712,0,816,N,816,0,1,TA,0,NA,CarPort,2,516,106,0,1,2010,Normal,110000
54,5,RL,50271,Low,Inside,Gtl,1Fam,1Story,9,1981,1987,None,0,Gd,CBlock,0,32,1842,Y,1842,0,1,Gd,1,Gd,Attchd,3,894,857,0,1,2006,Normal,385000
55,5,RL,7134,Bnk,Inside,Mod,1Fam,SLvl,5,1955,1955,None,0,TA,CBlock,0,0,384,Y,1360,0,1,TA,1,TA,Detchd,2,572,0,0,1,2007,Normal,130000
56,5,RL,10175,Lvl,Inside,Gtl,1Fam,1Story,6,1964,1964,BrkFace,272,TA,CBlock,0,935,1425,Y,1425,0,2,TA,1,Gd,Attchd,2,576,0,0,1,2008,Normal,180500
57,5,FV,2645,Lvl,Inside,Gtl,Twnhs,2Story,8,1999,2000,BrkFace,456,Gd,PConc,0,321,970,Y,983,756,3,Gd,0,NA,Attchd,2,480,115,0,1,2009,Other,172500
58,5,RL,11645,Lvl,Corner,Gtl,1Fam,2Story,7,2004,2004,None,0,Gd,PConc,0,860,860,Y,860,860,3,Gd,0,NA,Attchd,2,565,0,0,1,2006,Normal,196500
59,5,RL,13682,HLS,CulDSac,Gtl,1Fam,2Story,10,2006,2006,BrkFace,1031,Ex,PConc,0,1410,1410,Y,1426,1519,4,Gd,1,Gd,BuiltIn,3,641,192,0,1,2006,Other,438780
60,7,RL,7200,Bnk,Inside,Gtl,1Fam,1Story,5,1972,1972,None,0,TA,CBlock,0,148,780,Y,780,0,1,TA,0,NA,Detchd,1,352,196,0,1,2008,Normal,124900
61,5,RL,13072,Lvl,Inside,Gtl,1Fam,1Story,6,2004,2004,None,0,TA,PConc,0,217,1158,Y,1158,0,2,Gd,0,NA,Detchd,2,576,0,0,1,2006,Other,158000
62,7,RM,7200,Lvl,Inside,Gtl,1Fam,2.5Unf,5,1920,1996,None,0,TA,BrkTil,0,530,530,N,581,530,1,Other,0,NA,Detchd,1,288,0,0,1,2007,Normal,101000
63,5,RL,6442,Lvl,Inside,Gtl,TwnhsE,1Story,8,2006,2006,Stone,178,Gd,PConc,0,1346,1370,Y,1370,0,2,Gd,1,Gd,Attchd,2,484,120,0,1,2007,Normal,202500
64,6,RM,10300,Bnk,Inside,Gtl,1Fam,2Story,7,1921,1950,None,0,TA,BrkTil,0,576,576,Y,902,808,2,TA,0,NA,Detchd,2,480,12,0,1,2010,Normal,140000
65,5,RL,9375,Lvl,Inside,Gtl,1Fam,2Story,7,1997,1998,BrkFace,573,TA,PConc,0,318,1057,Y,1057,977,3,Gd,0,NA,Attchd,2,645,576,0,1,2009,Normal,219500
66,5,RL,9591,Lvl,Inside,Gtl,1Fam,2Story,8,2004,2005,BrkFace,344,Gd,PConc,0,1143,1143,Y,1143,1330,3,Gd,1,Gd,BuiltIn,3,852,192,0,1,2007,Normal,317000
67,5,RL,19900,Lvl,Inside,Gtl,1Fam,1Story,7,1970,1989,BrkFace,287,TA,CBlock,0,1035,1947,Y,2207,0,2,TA,1,Gd,Attchd,2,576,301,0,1,2010,Normal,180000
68,5,RL,10665,Lvl,Inside,Gtl,1Fam,1Story,7,2003,2003,BrkFace,167,Gd,PConc,0,440,1453,Y,1479,0,2,Gd,0,NA,Attchd,2,558,144,0,1,2007,Normal,226000
69,6,RM,4608,Lvl,Corner,Gtl,1Fam,1Story,4,1945,1950,None,0,TA,CBlock,0,747,747,Y,747,0,1,TA,0,NA,Attchd,1,220,0,0,1,2010,Normal,80000
70,4,RL,15593,Lvl,Corner,Gtl,1Fam,1.5Fin,7,1953,1953,None,0,Gd,CBlock,0,701,1304,Y,1304,983,2,TA,1,TA,Attchd,2,667,0,0,1,2006,Normal,225000
71,6,RL,13651,Lvl,Inside,Gtl,1Fam,1Story,7,1973,1973,BrkFace,1115,TA,CBlock,0,343,2223,Y,2223,0,2,TA,2,Gd,Attchd,2,516,300,0,1,2007,Normal,244000
72,6,RL,7599,Lvl,Corner,Gtl,1Fam,1Story,4,1982,2006,None,0,TA,CBlock,0,280,845,Y,845,0,1,TA,0,NA,Detchd,2,360,0,0,1,2007,Normal,129500
73,5,RL,10141,Lvl,Corner,Gtl,1Fam,2Story,7,1998,1998,BrkFace,40,TA,PConc,0,832,832,Y,885,833,3,TA,1,TA,Attchd,2,427,0,1,1,2009,Normal,185000
74,7,RL,10200,Lvl,Inside,Gtl,1Fam,1Story,5,1954,2003,BrkFace,104,TA,CBlock,362,404,1086,Y,1086,0,1,TA,0,NA,Attchd,2,490,0,0,1,2010,Normal,144900
75,6,RM,5790,Lvl,Corner,Gtl,1Fam,2Story,3,1915,1950,None,0,Gd,CBlock,0,840,840,N,840,765,2,TA,0,NA,Detchd,1,379,0,0,1,2010,Normal,107400
76,5,RM,1596,Lvl,Inside,Gtl,Twnhs,SLvl,4,1973,1973,None,0,TA,CBlock,0,0,462,Y,526,462,1,TA,0,NA,BuiltIn,1,297,120,0,1,2009,Normal,91000
77,7,RL,8475,Lvl,Inside,Gtl,1Fam,1Story,4,1956,1956,None,0,TA,CBlock,0,724,952,Y,952,0,1,TA,0,NA,Detchd,1,283,0,0,1,2008,Normal,135750
78,5,RM,8635,Lvl,Inside,Gtl,1Fam,1.5Fin,5,1948,2001,None,0,TA,CBlock,41,295,672,Y,1072,213,1,TA,0,NA,Detchd,1,240,0,0,1,2008,Normal,127000
79,5,RL,10778,Lvl,Inside,Gtl,Duplex,1Story,4,1968,1968,None,0,TA,CBlock,0,1768,1768,N,1768,0,2,TA,0,NA,NA,0,0,0,0,1,2010,Normal,136500
80,6,RM,10440,Lvl,Corner,Gtl,1Fam,2Story,5,1910,1981,None,0,TA,PConc,0,440,440,Y,682,548,2,TA,0,NA,Detchd,2,440,74,0,1,2009,Normal,110000
81,6,RL,13000,Lvl,Corner,Gtl,1Fam,2Story,6,1968,1968,BrkFace,576,TA,CBlock,0,448,896,Y,1182,960,3,Gd,1,Gd,Attchd,1,509,0,1,1,2009,Normal,193500
82,5,RM,4500,Lvl,FR2,Gtl,TwnhsE,1Story,6,1998,1998,BrkFace,443,TA,PConc,0,36,1237,Y,1337,0,2,TA,0,NA,Attchd,2,405,0,0,1,2006,Normal,153500
83,5,RL,10206,Lvl,Inside,Gtl,1Fam,1Story,8,2007,2007,Stone,468,TA,PConc,0,1530,1563,Y,1563,0,2,Gd,1,Gd,Attchd,3,758,144,0,1,2008,Normal,245000
84,5,RL,8892,Lvl,Inside,Gtl,1Fam,1Story,5,1960,1960,BrkCmn,66,TA,CBlock,0,1065,1065,Y,1065,0,2,TA,0,NA,Detchd,2,461,74,0,1,2007,Normal,126500
85,5,RL,8530,Lvl,Inside,Gtl,1Fam,SLvl,7,1995,1996,BrkFace,22,TA,PConc,0,384,384,Y,804,670,3,TA,1,TA,BuiltIn,2,400,120,0,1,2009,Normal,168500
86,5,RL,16059,Lvl,Corner,Gtl,1Fam,2Story,8,1991,1992,BrkFace,284,Gd,CBlock,0,1288,1288,Y,1301,1116,3,Gd,1,TA,Attchd,2,462,127,0,1,2006,Normal,260000
87,5,RL,11911,Lvl,Inside,Gtl,1Fam,2Story,6,2005,2005,None,0,Gd,PConc,0,684,684,Y,684,876,3,Gd,1,Gd,BuiltIn,2,400,100,0,1,2009,Normal,174000
88,5,FV,3951,Lvl,Corner,Gtl,TwnhsE,2Story,6,2009,2009,Stone,76,Gd,PConc,0,612,612,Y,612,612,3,Gd,0,NA,Detchd,2,528,0,0,1,2009,Other,164500
89,2,C (all),8470,Lvl,Corner,Gtl,1Fam,1.5Fin,3,1915,1982,None,0,Fa,CBlock,0,1013,1013,N,1013,0,1,Other,0,NA,NA,0,0,0,0,1,2009,Other,85000
90,5,RL,8070,Lvl,Inside,Gtl,1Fam,1Story,4,1994,1995,None,0,TA,PConc,0,402,990,Y,990,0,1,TA,0,NA,NA,0,0,0,0,1,2007,Normal,123600
91,5,RL,7200,Lvl,Inside,Gtl,1Fam,1Story,4,1950,1950,None,0,TA,Slab,0,0,0,Y,1040,0,1,TA,0,NA,Detchd,2,420,0,0,1,2006,Normal,109900
92,3,RL,8500,Lvl,Inside,Gtl,1Fam,1Story,5,1961,1961,BrkCmn,203,TA,CBlock,0,635,1235,Y,1235,0,1,TA,0,NA,Attchd,2,480,0,0,1,2006,Other,98600
93,7,RL,13360,HLS,Inside,Gtl,1Fam,1Story,5,1921,2006,None,0,TA,BrkTil,0,163,876,Y,964,0,1,TA,0,NA,Detchd,2,432,0,0,1,2009,Normal,163500
94,6,C (all),7200,Lvl,Corner,Gtl,2fmCon,2.5Unf,6,1910,1998,None,0,TA,BrkTil,0,168,1214,N,1260,1031,2,TA,1,Gd,Detchd,2,506,0,1,1,2007,Normal,133900
95,5,RL,9337,Lvl,Inside,Gtl,1Fam,2Story,6,1997,1997,None,0,TA,PConc,0,176,824,Y,905,881,3,Gd,0,NA,Attchd,2,684,0,0,1,2007,Normal,204750
96,8,RL,9765,Lvl,Corner,Gtl,1Fam,2Story,6,1993,1993,BrkFace,68,Ex,PConc,0,370,680,Y,680,790,3,TA,1,TA,BuiltIn,2,420,232,0,1,2009,Normal,185000
97,5,RL,10264,Lvl,Inside,Gtl,1Fam,1Story,7,1999,1999,BrkFace,183,Gd,PConc,0,426,1588,Y,1588,0,2,Gd,0,NA,Attchd,2,472,158,0,1,2006,Normal,214000
98,5,RL,10921,HLS,Inside,Gtl,1Fam,1Story,4,1965,1965,BrkFace,48,TA,CBlock,0,440,960,Y,960,0,1,TA,0,NA,Attchd,1,432,120,0,1,2007,Normal,94750
99,5,RL,10625,Lvl,Corner,Gtl,1Fam,1Story,5,1920,1950,None,0,TA,BrkTil,0,350,458,N,835,0,1,TA,0,NA,Basment,1,366,0,0,1,2010,Other,83000
100,5,RL,9320,Lvl,Inside,Gtl,1Fam,1Story,4,1959,1959,None,0,TA,CBlock,0,381,950,Y,1225,0,2,TA,0,NA,NA,0,0,352,0,1,2010,Normal,128950
101,7,RL,10603,Lvl,Inside,Gtl,1Fam,1Story,6,1977,2001,BrkFace,28,TA,PConc,0,410,1610,Y,1610,0,2,Gd,2,TA,Attchd,2,480,168,0,1,2010,Normal,205000
102,5,RL,9206,Lvl,Inside,Gtl,1Fam,2Story,6,1985,1985,BrkFace,336,Gd,CBlock,0,741,741,Y,977,755,3,Gd,1,TA,Attchd,2,476,192,0,1,2010,Normal,178000
103,5,RL,7018,Bnk,Inside,Gtl,Duplex,1Story,5,1979,1979,None,0,TA,Slab,0,0,0,Y,1535,0,2,TA,0,NA,Attchd,2,410,0,0,1,2009,Other,118964
104,5,RL,10402,Lvl,Corner,Gtl,1Fam,1Story,7,2009,2009,None,0,TA,PConc,0,1226,1226,Y,1226,0,2,Gd,0,NA,Attchd,3,740,0,0,1,2010,Normal,198900
105,4,RM,7758,Lvl,Corner,Gtl,1Fam,1.5Fin,7,1931,1950,BrkFace,600,TA,PConc,0,816,1040,Y,1226,592,2,TA,2,TA,Detchd,1,240,0,1,1,2007,Normal,169500
106,5,FV,9375,Lvl,Inside,Gtl,1Fam,2Story,8,2003,2004,BrkFace,768,Gd,PConc,0,1053,1053,Y,1053,939,3,Gd,1,Gd,Attchd,2,648,140,0,1,2008,Normal,250000
107,7,RM,10800,Lvl,Inside,Gtl,1Fam,1Story,4,1885,1995,None,0,TA,BrkTil,0,641,641,Y,1047,0,1,TA,0,NA,Detchd,1,273,0,0,1,2007,Normal,100000
108,5,RM,6000,Lvl,Inside,Gtl,1Fam,1Story,5,1948,1950,None,0,TA,CBlock,169,516,789,Y,789,0,1,TA,0,NA,Detchd,1,250,0,0,1,2008,Other,115000
109,7,RM,8500,Lvl,Corner,Gtl,1Fam,1.5Fin,5,1919,2005,None,0,TA,CBlock,0,793,793,N,997,520,2,Other,0,NA,NA,0,0,0,0,1,2007,Normal,115000
110,6,RL,11751,Lvl,Inside,Gtl,1Fam,1Story,6,1977,1977,BrkFace,480,TA,CBlock,0,1139,1844,Y,1844,0,2,TA,1,TA,Attchd,2,546,0,0,1,2010,Normal,190000
111,4,RL,9525,Lvl,Inside,Gtl,1Fam,1.5Fin,6,1954,1972,None,0,TA,CBlock,0,550,994,Y,1216,639,2,TA,0,NA,Attchd,1,325,182,0,1,2006,Normal,136900
112,5,RL,7750,Lvl,Inside,Gtl,1Fam,SLvl,7,2000,2000,None,0,TA,PConc,0,134,384,Y,774,656,3,TA,1,TA,BuiltIn,2,400,180,0,1,2010,Normal,180000
113,5,RL,9965,Lvl,Inside,Gtl,1Fam,2Story,7,2007,2007,Stone,220,Gd,PConc,0,280,1264,Y,1282,1414,3,Other,1,Gd,BuiltIn,3,792,120,1,1,2007,Other,383970
114,5,RL,21000,Bnk,Corner,Gtl,1Fam,1Story,6,1953,1953,BrkFace,184,TA,CBlock,869,905,1809,Y,2259,0,2,Gd,2,Gd,Basment,2,450,166,0,1,2007,Other,217000
115,8,RL,7259,Lvl,Inside,Mod,1Fam,2Story,6,1945,2002,None,0,TA,CBlock,150,104,1028,Y,1436,884,3,Gd,1,TA,Detchd,1,180,224,0,1,2007,Normal,259500
116,5,FV,3230,Lvl,Corner,Gtl,TwnhsE,2Story,6,1999,1999,BrkFace,1129,TA,PConc,0,310,729,Y,729,729,3,TA,1,Fa,Detchd,2,440,0,0,1,2007,Normal,176000
117,5,RL,11616,Lvl,Inside,Gtl,1Fam,1Story,5,1962,1962,BrkFace,116,TA,CBlock,670,252,1092,Y,1092,0,1,TA,1,Po,Attchd,1,288,0,0,1,2009,Normal,139000
118,5,RL,8536,Lvl,Corner,Gtl,1Fam,1Story,5,2006,2007,None,0,TA,PConc,0,1125,1125,Y,1125,0,2,TA,0,NA,Attchd,2,430,80,0,1,2007,Other,155000
119,5,RL,12376,Lvl,Corner,Gtl,1Fam,2Story,7,1990,1990,None,0,TA,PConc,0,203,1673,Y,1699,1523,3,Gd,2,TA,Attchd,3,594,367,0,1,2010,Normal,320000
120,5,RL,8461,Lvl,Inside,Gtl,1Fam,2Story,6,2005,2006,None,0,Gd,PConc,0,728,728,Y,728,728,3,Gd,1,Gd,Attchd,2,390,0,0,1,2006,Other,163990
121,5,RL,21453,Low,CulDSac,Sev,1Fam,SLvl,6,1969,1969,None,0,TA,CBlock,0,0,938,Y,988,0,1,TA,2,TA,Attchd,2,540,0,0,1,2006,Normal,180000
122,5,RM,6060,Lvl,Inside,Gtl,1Fam,1.5Fin,4,1939,1950,None,0,TA,PConc,0,732,732,Y,772,351,1,TA,0,NA,Detchd,1,264,0,0,1,2007,Normal,100000
123,7,RL,9464,Lvl,Corner,Gtl,1Fam,1Story,6,1958,1958,BrkFace,135,TA,CBlock,0,510,1080,Y,1080,0,1,TA,0,NA,Attchd,1,288,0,1,1,2008,Normal,136000
124,5,RL,7892,Lvl,Inside,Gtl,TwnhsE,1Story,6,1993,1993,None,0,Gd,PConc,0,899,1199,Y,1199,0,2,Gd,0,NA,Attchd,2,530,0,0,1,2008,Normal,153900
125,5,RL,17043,Lvl,CulDSac,Gtl,1Fam,1Story,6,1979,1998,None,0,TA,CBlock,0,1362,1362,Y,1586,0,2,TA,1,TA,Attchd,2,435,192,0,1,2009,Normal,181000
126,8,RM,6780,Lvl,Inside,Gtl,2fmCon,1.5Fin,6,1935,1982,None,0,TA,CBlock,0,30,520,N,520,0,1,TA,0,NA,NA,0,0,53,0,1,2006,Normal,84500
127,5,RL,4928,Lvl,Inside,Gtl,TwnhsE,1Story,6,1976,1976,None,0,TA,CBlock,0,958,1078,Y,958,0,2,TA,1,TA,Attchd,2,440,0,0,1,2007,Normal,128000
128,7,RM,4388,Bnk,Inside,Gtl,1Fam,1.5Unf,5,1930,1950,None,0,TA,BrkTil,0,556,672,Y,840,0,1,TA,1,TA,NA,0,0,0,0,1,2007,Normal,87000
